ItemID	PlatformID	ItemName	ItemType	UmitPrice	isPile	PileNum	isGiver	isCompose	isSell	ObtainItemIDList	ObtainItemCountList	isDisapear	isDelivery	DeliveryGameID	DeliveryFunctionID	EffTime	ExpireDate	ImagePath	ImageSmallPath	ItemDesc	
1001	0	金币	1		1	5								0				new_ui/common/red_packet/bisaizhuanyongjinbi.png			
1002	0	來豆	1		1	5								0				new_ui/common/new_common/laidou.png			
1004	0	芝士币	1		1	5								0				new_ui/lobbywindow/zhishibi.png			
1021	0	周卡	5		1	10								0				new_ui/common/red_packet/weekcard.png		每天可获得20000金币	
1501	0	1元红包	3		0					1001:10000		1		0				new_ui/common/red_packet/1.png		使用后，将通过微信公众号自动为您发放1元红包，请您注意查收	
1502	0	2元红包	3		0					1001:20000		1		0				new_ui/common/red_packet/2.png		使用后，将通过微信公众号自动为您发放2元红包，请您注意查收	
1503	0	3元红包	3		0					1001:30000		1		0				new_ui/common/red_packet/3.png		使用后，将通过微信公众号自动为您发放3元红包，请您注意查收	
1504	0	5元红包	3		0					1001:50000		1		0				new_ui/common/red_packet/5.png		使用后，将通过微信公众号自动为您发放5元红包，请您注意查收	
1505	0	10元红包	3		0					1001:100000		1		0				new_ui/common/red_packet/10.png		使用后，将通过微信公众号自动为您发放10元红包，请您注意查收	
1506	0	30元红包	3		0							1		0				new_ui/common/red_packet/30.png		使用后，将通过微信公众号自动为您发放30元红包，请您注意查收	
1507	0	50元红包	3		0							1		0				new_ui/common/red_packet/50.png		使用后，将通过微信公众号自动为您发放50元红包，请您注意查收	
1508	0	100元红包	3		0							1		0				new_ui/common/red_packet/100.png		使用后，将通过微信公众号自动为您发放100元红包，请您注意查收	
1509	0	20元红包	3		0							1		0				new_ui/common/red_packet/20.png		使用后，将通过微信公众号自动为您发放20元红包，请您注意查收	
1510	0	200元红包	3		0							1		0				new_ui/common/red_packet/200.png		使用后，将通过微信公众号自动为您发放200元红包，请您注意查收	
2001	0	手机赛门票	2		1	10												new_ui/common/red_packet/iPhoneXmenpiao.png		可用于报名伊诺凯专属iPhone X大奖赛。	
2002	0	新春赛门票	2		1	999										21		new_ui/common/red_packet/hongbaosai.png		可用于报名新春红包赛。	
2003	0	Mate赛门票	2		1	999										8		new_ui/common/red_packet/huaweimenpiao.png		可用于报名周末手机大奖赛。	
2004	0	元宵赛门票	2		1	999										22		new_ui/common/red_packet/yuanxiao.png		可用于报名元宵红包赛。	
2005	0	大奖赛门票	2		1	999												new_ui/common/red_packet/dasaimenpiao.png		可用于报名大奖赛	
2006	0	苹果赛门票	2		1	999												new_ui/common/red_packet/Apple_zhuanchang.png		可用于报名苹果专场赛	
2007	0	电器赛门票	2		1	999												new_ui/common/red_packet/dianqimenpiao.png		可用于报名电器专场赛	
9998	0	iPhone-X	3		0							1		0				new_ui/common/red_packet/iPhoneX.png		请填写收货信息(需先在游戏和公众号绑定手机号)，奖品在发货后7日内天送达。有问题在公众号里联系客服。	
9999	0	再来一次	9		0									0							
13002	0	1元红包	5		0											7		new_ui/common/red_packet/1.png		完成目标后，可使用微信红包，使用需绑定手机号并绑定公众号	
30002	0	Mate10	3		0							1						new_ui/common/red_packet/mate10_1.png		使用后可获得Mate10 pro手机一部，使用需绑定手机号并绑定公众号	
30003	0	iPad 32G	3		0							1						new_ui/common/red_packet/ipad_1.png		使用后可获得Ipad 32G平板一个，使用需绑定手机号并绑定公众号	
30004	0	空气净化器	3		0							1						new_ui/common/red_packet/mi_1.png		使用后可获得小米（MI）空气净化器一个，使用需绑定手机号并绑定公众号	
30005	0	Beats耳机	3		0							1						new_ui/common/red_packet/erji_1.png		使用后可获得Beats EP 头戴式耳机一个，使用需绑定手机号并绑定公众号	
30006	0	iPad Pro	3		0							1						new_ui/common/red_packet/iPad_Pro.png		使用后可获得iPad Pro一部，使用需绑定手机号并绑定公众号	
30007	0	戴森吹风机	3		0							1						new_ui/common/red_packet/daisenchuifengji.png		请填写收货信息(需先在游戏和公众号绑定手机号)，奖品在发货后7日内天送达。有问题在公众号里联系客服。	
30008	0	扫地机器人	3		0							1						new_ui/common/red_packet/Ecovacs.png		使用后可获得科沃斯扫地机器人一台，使用需绑定手机号并绑定公众号	
30009	0	九阳破壁机	3		0							1						new_ui/common/red_packet/Joyoung.png		使用后可获得九阳破壁豆浆机一台，使用需绑定手机号并绑定公众号	
